"instance" "vertices" "strategy" "iterations" "guards" "preProcTime(s)" "procTime(s)" "totalTime(s)"
"randsimple-40-16" 40 "Single Vertex" 7 6 0.19 0.06 0.25
"randsimple-40-10" 40 "Single Vertex" 7 6 0.19 0.05 0.24
"randsimple-40-1" 40 "Single Vertex" 8 7 0.18 0.1 0.28
"randsimple-40-29" 40 "Single Vertex" 6 5 0.19 0.05 0.24
"randsimple-40-28" 40 "Single Vertex" 5 5 0.2 0.06 0.26
"randsimple-40-20" 40 "Single Vertex" 8 7 0.19 0.08 0.27
"randsimple-40-13" 40 "Single Vertex" 6 6 0.2 0.05 0.25
"randsimple-40-9" 40 "Single Vertex" 9 6 0.19 0.08 0.27
"randsimple-60-29" 60 "All Vertices" 1 9 0.44 0.03 0.47
"randsimple-60-4" 60 "All Vertices" 6 8 0.44 0.14 0.58
"randsimple-60-9" 60 "All Vertices" 2 9 0.43 0.05 0.48
"randsimple-60-21" 60 "All Vertices" 2 8 0.44 0.05 0.49
"randsimple-60-7" 60 "All Vertices" 2 10 0.44 0.06 0.49
"randsimple-60-5" 60 "All Vertices" 3 9 0.44 0.1 0.54
"randsimple-60-11" 60 "All Vertices" 2 9 0.44 0.04 0.48
"randsimple-60-23" 60 "All Vertices" 4 7 0.44 0.09 0.53
"randsimple-60-16" 60 "All Vertices" 3 9 0.44 0.08 0.52
"randsimple-60-10" 60 "All Vertices" 3 10 0.44 0.09 0.52
"randsimple-60-18" 60 "All Vertices" 5 10 0.44 0.13 0.57
"randsimple-60-1" 60 "All Vertices" 2 9 0.44 0.04 0.49
"randsimple-60-3" 60 "All Vertices" 4 9 0.45 0.11 0.56
"randsimple-60-12" 60 "All Vertices" 2 9 0.44 0.05 0.49
"randsimple-60-27" 60 "All Vertices" 6 10 0.44 0.15 0.6
"randsimple-60-22" 60 "All Vertices" 2 9 0.45 0.06 0.51
"randsimple-60-26" 60 "All Vertices" 4 10 0.44 0.1 0.55
"randsimple-60-25" 60 "All Vertices" 3 7 0.45 0.06 0.51
"randsimple-60-28" 60 "All Vertices" 2 10 0.44 0.06 0.5
"randsimple-60-6" 60 "All Vertices" 2 9 0.44 0.06 0.5
"randsimple-60-2" 60 "All Vertices" 1 7 0.44 0.02 0.46
"randsimple-60-19" 60 "All Vertices" 2 9 0.44 0.05 0.49
"randsimple-60-20" 60 "All Vertices" 3 8 0.44 0.07 0.52
"randsimple-60-14" 60 "All Vertices" 3 8 0.44 0.06 0.5
"randsimple-60-13" 60 "All Vertices" 4 10 0.45 0.14 0.59
"randsimple-60-8" 60 "All Vertices" 5 11 0.44 0.15 0.58
"randsimple-60-15" 60 "All Vertices" 5 9 0.44 0.1 0.54
"randsimple-60-24" 60 "All Vertices" 3 9 0.44 0.09 0.53
"randsimple-60-30" 60 "All Vertices" 5 8 0.46 0.14 0.6
"randsimple-60-17" 60 "All Vertices" 3 9 0.44 0.08 0.53
"randsimple-60-24" 60 "Convex Vertices" 3 9 0.44 0.08 0.52
"randsimple-60-22" 60 "Convex Vertices" 2 9 0.44 0.06 0.5
"randsimple-60-10" 60 "Convex Vertices" 3 10 0.43 0.09 0.52
"randsimple-60-18" 60 "Convex Vertices" 5 10 0.43 0.12 0.55
"randsimple-60-19" 60 "Convex Vertices" 3 9 0.44 0.08 0.52
"randsimple-60-17" 60 "Convex Vertices" 3 9 0.44 0.09 0.53
"randsimple-60-8" 60 "Convex Vertices" 5 11 0.43 0.14 0.57
"randsimple-60-5" 60 "Convex Vertices" 2 9 0.44 0.07 0.5
"randsimple-60-16" 60 "Convex Vertices" 3 9 0.44 0.08 0.52
"randsimple-60-2" 60 "Convex Vertices" 1 7 0.44 0.02 0.46
"randsimple-60-29" 60 "Convex Vertices" 3 9 0.44 0.08 0.52
"randsimple-60-27" 60 "Convex Vertices" 7 10 0.43 0.17 0.6
"randsimple-60-28" 60 "Convex Vertices" 2 10 0.44 0.06 0.5
"randsimple-60-14" 60 "Convex Vertices" 5 8 0.44 0.1 0.54
"randsimple-60-20" 60 "Convex Vertices" 2 8 0.44 0.04 0.48
"randsimple-60-6" 60 "Convex Vertices" 2 9 0.44 0.06 0.49
"randsimple-60-4" 60 "Convex Vertices" 6 8 0.44 0.13 0.56
"randsimple-60-23" 60 "Convex Vertices" 4 7 0.44 0.1 0.54
"randsimple-60-15" 60 "Convex Vertices" 7 9 0.44 0.14 0.58
"randsimple-60-13" 60 "Convex Vertices" 5 10 0.45 0.16 0.61
"randsimple-60-12" 60 "Convex Vertices" 2 9 0.44 0.05 0.49
"randsimple-60-11" 60 "Convex Vertices" 2 9 0.44 0.04 0.48
"randsimple-60-21" 60 "Convex Vertices" 3 8 0.44 0.06 0.51
"randsimple-60-1" 60 "Convex Vertices" 3 9 0.44 0.06 0.5
"randsimple-60-25" 60 "Convex Vertices" 3 7 0.44 0.06 0.5
"randsimple-60-30" 60 "Convex Vertices" 3 8 0.45 0.09 0.54
"randsimple-60-7" 60 "Convex Vertices" 3 10 0.44 0.08 0.52
"randsimple-60-26" 60 "Convex Vertices" 4 10 0.44 0.09 0.53
"randsimple-60-3" 60 "Convex Vertices" 3 9 0.44 0.08 0.52
"randsimple-60-9" 60 "Convex Vertices" 2 9 0.43 0.04 0.48
"randsimple-60-27" 60 "Shadow AVPs" 1 10 0.64 0.03 0.67
"randsimple-60-28" 60 "Shadow AVPs" 1 10 0.86 0.03 0.88
"randsimple-60-18" 60 "Shadow AVPs" 1 10 0.66 0.03 0.69
"randsimple-60-6" 60 "Shadow AVPs" 1 9 0.79 0.03 0.82
"randsimple-60-30" 60 "Shadow AVPs" 1 8 1.08 0.03 1.11
"randsimple-60-8" 60 "Shadow AVPs" 1 11 0.68 0.03 0.72
"randsimple-60-7" 60 "Shadow AVPs" 1 10 0.74 0.03 0.77
"randsimple-60-23" 60 "Shadow AVPs" 1 7 0.79 0.02 0.82
"randsimple-60-26" 60 "Shadow AVPs" 1 10 0.7 0.02 0.73
"randsimple-60-19" 60 "Shadow AVPs" 1 9 0.73 0.03 0.76
"randsimple-60-2" 60 "Shadow AVPs" 1 7 0.72 0.02 0.74
"randsimple-60-25" 60 "Shadow AVPs" 1 7 0.8 0.02 0.82
"randsimple-60-20" 60 "Shadow AVPs" 1 8 0.72 0.02 0.74
"randsimple-60-29" 60 "Shadow AVPs" 1 9 0.77 0.03 0.8
"randsimple-60-11" 60 "Shadow AVPs" 1 9 0.67 0.02 0.7
"randsimple-60-5" 60 "Shadow AVPs" 1 9 0.84 0.03 0.87
"randsimple-60-17" 60 "Shadow AVPs" 1 9 0.83 0.03 0.86
"randsimple-60-15" 60 "Shadow AVPs" 1 9 0.66 0.02 0.68
